record_id,customer_ref,case_type,region
REC-8d919c5b-0001,CUST-0A460734AB,billing,EU
REC-8d919c5b-0002,CUST-DA1AF67F13,identity,US-CA
REC-8d919c5b-0003,CUST-CEE1F596C1,support,NG
REC-8d919c5b-0004,CUST-DAB3AA86BF,billing,EU
REC-8d919c5b-0005,CUST-695E849883,identity,US-CA
REC-8d919c5b-0006,CUST-C9B36845DA,support,NG
REC-8d919c5b-0007,CUST-82C60695D3,billing,EU
REC-8d919c5b-0008,CUST-B92C4FD1B2,identity,US-CA
REC-8d919c5b-0009,CUST-1612FE3138,support,NG
REC-8d919c5b-0010,CUST-982970EF04,billing,EU
REC-8d919c5b-0011,CUST-54F0BA9650,identity,US-CA
REC-8d919c5b-0012,CUST-1A622FE9B6,support,NG
REC-8d919c5b-0013,CUST-27A72B2ECB,billing,EU
REC-8d919c5b-0014,CUST-F9210F8A17,identity,US-CA
REC-8d919c5b-0015,CUST-EF390D4218,support,NG
REC-8d919c5b-0016,CUST-6D47799914,billing,EU
REC-8d919c5b-0017,CUST-DD1C3ECB6A,identity,US-CA
REC-8d919c5b-0018,CUST-8D5ABD954F,support,NG
REC-8d919c5b-0019,CUST-0AF95DE1CE,billing,EU
REC-8d919c5b-0020,CUST-13C7FE3413,identity,US-CA
REC-8d919c5b-0021,CUST-00A0C806FA,support,NG
REC-8d919c5b-0022,CUST-8C468DE0A2,billing,EU
REC-8d919c5b-0023,CUST-E234F8E2A6,identity,US-CA
REC-8d919c5b-0024,CUST-E9D88239BC,support,NG
REC-8d919c5b-0025,CUST-6F280AD954,billing,EU
REC-8d919c5b-0026,CUST-8ED2A65252,identity,US-CA
REC-8d919c5b-0027,CUST-C78944E03C,support,NG
REC-8d919c5b-0028,CUST-B803951EA0,billing,EU
REC-8d919c5b-0029,CUST-52297A4306,identity,US-CA
REC-8d919c5b-0030,CUST-EB39248C4C,support,NG
REC-8d919c5b-0031,CUST-BB6A0407CE,billing,EU
REC-8d919c5b-0032,CUST-E85C650E1E,identity,US-CA
REC-8d919c5b-0033,CUST-415C8A5F15,support,NG
REC-8d919c5b-0034,CUST-BEA720AA25,billing,EU
REC-8d919c5b-0035,CUST-428E25DED2,identity,US-CA
REC-8d919c5b-0036,CUST-C32DCA7DCF,support,NG
REC-8d919c5b-0037,CUST-C2A3DC70C1,billing,EU
REC-8d919c5b-0038,CUST-E88C21CB4B,identity,US-CA
REC-8d919c5b-0039,CUST-D92C3645E2,support,NG
REC-8d919c5b-0040,CUST-135B007B01,billing,EU
REC-8d919c5b-0041,CUST-7EB18D12A2,identity,US-CA
REC-8d919c5b-0042,CUST-AA35776C19,support,NG
REC-8d919c5b-0043,CUST-086EE845F6,billing,EU
REC-8d919c5b-0044,CUST-0C5FF6AC33,identity,US-CA
REC-8d919c5b-0045,CUST-8E51A2C42A,support,NG
REC-8d919c5b-0046,CUST-E7B590524C,billing,EU
REC-8d919c5b-0047,CUST-BB4CA8D7DA,identity,US-CA
REC-8d919c5b-0048,CUST-E626F6FBD5,support,NG
REC-8d919c5b-0049,CUST-696039C33D,billing,EU
REC-8d919c5b-0050,CUST-98A5019EE9,identity,US-CA
REC-8d919c5b-0051,CUST-E9C57E07D9,support,NG
REC-8d919c5b-0052,CUST-9E76B60D10,billing,EU
REC-8d919c5b-0053,CUST-A6A3D36395,identity,US-CA
REC-8d919c5b-0054,CUST-163791F4CD,support,NG
REC-8d919c5b-0055,CUST-B90C400970,billing,EU
REC-8d919c5b-0056,CUST-CF2ABD19FD,identity,US-CA
REC-8d919c5b-0057,CUST-AAEBBD3755,support,NG
REC-8d919c5b-0058,CUST-4991329A91,billing,EU
