claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
Q1-A,Initial Access,Email delivered the case-linked attachment context.,working/evidence/sealed-evidence/evidence/mail/initial-access.eml,From: Northstar Support <support-v1@example.invalid>; To: analyst1@northstar.invalid; Subject: Case export reconciliation; attachment case-instructions-*.txt,not_provided_in_source,8dd40f12866217b153a7af539d675950c3edcfdd78649e7ddf236adff6e14d4e,The email contains the same evidence binding used by host artifacts.,It does not independently prove the text attachment executed code.,high,The attachment itself contains only binding/marker text.,confirmed_delivery_context
Q1-B,Initial Access,WINWORD launched the case execution chain and spawned PowerShell.,working/evidence/sealed-evidence/evidence/host/sysmon.jsonl,JSONL lines 50001-50002,not_provided_in_source,f27c3807903ef8a6c72847761b0e62af5b1da8dd599c52782c38d2386acbab9d,WINWORD.EXE opened the synthetic case attachment and powershell.exe followed under the same user/binding.,It does not prove privilege escalation.,high,The sequence may be an authorized training simulation.,confirmed
Q2-A,Network Infrastructure,Case-linked network connection targeted the collector endpoint.,working/evidence/sealed-evidence/evidence/host/sysmon.jsonl,JSONL line 50005,not_provided_in_source,f27c3807903ef8a6c72847761b0e62af5b1da8dd599c52782c38d2386acbab9d,curl.exe connected to sync-v1.updates-example.invalid:8443.,It does not by itself prove malicious command-and-control.,high,Training/local-collector interpretation remains supported.,confirmed
Q2-B,Network Infrastructure,The archive was transferred by HTTP POST and accepted by the server.,working/evidence/sealed-evidence/evidence/network/incident.pcap,frames 49-50; tcp.stream 0,not_provided_in_source,a2ff3da37c045ab933c5c4a71c18b8ca80596349e19d3fb5624d27228e70d90d,Frame 49 carries the archive POST body and frame 50 returns HTTP 201 Created.,A successful transfer does not establish malicious intent.,high,The endpoint may be an authorized synthetic collector.,confirmed
Q3,Privilege,No privilege increase is confirmed in the case evidence.,working/evidence/sealed-evidence/evidence/host/sysmon.jsonl,JSONL lines 50001-50006,not_provided_in_source,f27c3807903ef8a6c72847761b0e62af5b1da8dd599c52782c38d2386acbab9d,All six non-noise case events remain under northstar\analyst1 with no demonstrated identity transition.,Absence in the supplied telemetry cannot prove that elevation was impossible outside the evidence set.,high,Scheduled-task creation alone was considered but rejected as proof.,not_confirmed
Q4,Lateral Movement,No host-to-host lateral movement is confirmed.,working/evidence/sealed-evidence/evidence/host/sysmon.jsonl,JSONL lines 50001-50006,not_provided_in_source,f27c3807903ef8a6c72847761b0e62af5b1da8dd599c52782c38d2386acbab9d,All six non-noise case events occur on NS-WKS-101.,This does not prove no movement occurred outside the supplied telemetry.,high,The collector connection was considered but is not evidence of internal host-to-host movement.,not_confirmed
Q5-A,Data Staging,synthetic-records.csv was staged into case-export.zip.,working/evidence/sealed-evidence/evidence/host/sysmon.jsonl,JSONL line 50004,not_provided_in_source,f27c3807903ef8a6c72847761b0e62af5b1da8dd599c52782c38d2386acbab9d,tar.exe created case-export.zip from synthetic-records.csv.,The process event alone does not prove successful transfer.,high,Could be authorized training activity.,confirmed
Q5-B,Data Transfer,The staged ZIP was successfully transferred.,recovered/recovery-metadata.json,"http_request, http_response, recovery objects",not_provided_in_source,cff3d2e8563ebc44715311ec5b4beb575dba830720da7a136899da6ff9d39c2c,Recovered POST body is a valid ZIP matching the HTTP Content-Length and the server returned 201 Created.,It does not prove malicious intent.,high,Authorized simulation remains plausible.,confirmed
Q6,Impact / Recovery,Recovered CSV contains exactly 5137 data records.,recovered/extracted/synthetic-records.csv,CSV header plus all recovered data rows,not_provided_in_source,622bdcfbf85d51b1cdf45e26f5cd016a998d0e220fbb9a21b104278f4b0af99f,Exact recovered synthetic record count is 5137.,It does not prove real customer data was involved.,high,Artifact names and script text explicitly describe synthetic records.,confirmed
Q7-A,Alternative Hypothesis,PowerShell explicitly labels the activity a training simulation.,working/evidence/sealed-evidence/evidence/host/powershell-operational.jsonl,JSONL line 1; Event 4104,not_provided_in_source,09ff04af864454f87f94dc71406c2cb01c49f2830913e5be6ab0ffc64a3840ad,Script block states training simulation and sending synthetic records to the local collector.,It does not negate the fact that the technical transfer occurred.,high,Primary malicious-compromise hypothesis is materially weakened.,confirmed
CLOCK-1,Timeline Reconstruction,Sysmon timestamps require a -23:46:00 normalization.,evidence/clock-offsets.json,sysmon.offset_seconds_applied,not_provided_in_source,6162476538d63ce28fc234f1a61773065e4012f97f14a46deb4a44a98bf13e83,Documents the correlation-derived Sysmon clock correction.,It is not direct NTP/system-clock telemetry.,high,Uncorrected Sysmon timing was rejected as inconsistent with PCAP.,confirmed
CLOCK-2,Timeline Reconstruction,PowerShell timestamps require a +00:00:38 normalization.,evidence/clock-offsets.json,powershell.offset_seconds_applied,not_provided_in_source,6162476538d63ce28fc234f1a61773065e4012f97f14a46deb4a44a98bf13e83,Documents the second independent source-clock correction.,It is not direct operating-system clock metadata.,high,Zero correction was considered and rejected after correlation.,confirmed
RECOVERY-1,Recovery,Recovered archive identity is fixed by SHA-256.,recovered/case-export.zip,entire file,not_provided_in_source,8e994147097a29a84a1b162cc2aaae6f5592ff135406aaca9c1668d512b98825,Provides exact cryptographic identity of the reconstructed case-export.zip.,A hash alone does not establish maliciousness.,high,None,confirmed
SETUP-1,Assessment Setup,Private assignment marker is present in final evidence.,evidence/assignment-context.json,private_marker,not_provided_in_source,799fc47322311a706c9db87b24ffaf680351125b446540a83b247e7cc65fe93c,"Records intern UBI-2026-0246, variant V1, assignment set D1, and private marker.",It does not provide incident-behavior evidence.,high,None,confirmed
